cc,p,r,h
89.17,0.1,1,20
92.08,0.1,1,30
92.22,0.1,1,50
91.11,0.1,1,70
96.39,0.1,3,20
95.97,0.1,3,30
95.14,0.1,3,50
95.14,0.1,3,70
97.36,0.1,5,20
96.67,0.1,5,30
95.69,0.1,5,50
96.25,0.1,5,70
96.53,0.1,7,20
97.08,0.1,7,30
96.39,0.1,7,50
96.67,0.1,7,70
95.83,0.1,10,20
97.50,0.1,10,30
96.53,0.1,10,50
96.25,0.1,10,70
89.58,0.3,1,20
90.05,0.3,1,30
89.35,0.3,1,50
89.12,0.3,1,70
93.80,0.3,3,20
95.09,0.3,3,30
93.61,0.3,3,50
95.05,0.3,3,70
95.46,0.3,5,20
95.46,0.3,5,30
95.14,0.3,5,50
95.05,0.3,5,70
96.57,0.3,7,20
96.06,0.3,7,30
95.51,0.3,7,50
95.42,0.3,7,70
96.11,0.3,10,20
95.88,0.3,10,30
96.11,0.3,10,50
96.48,0.3,10,70
87.81,0.5,1,20
88.78,0.5,1,30
87.92,0.5,1,50
88.92,0.5,1,70
93.03,0.5,3,20
93.86,0.5,3,30
92.67,0.5,3,50
93.44,0.5,3,70
93.81,0.5,5,20
94.61,0.5,5,30
93.94,0.5,5,50
94.17,0.5,5,70
94.78,0.5,7,20
94.83,0.5,7,30
94.86,0.5,7,50
94.64,0.5,7,70
95.36,0.5,10,20
94.86,0.5,10,30
95.42,0.5,10,50
94.08,0.5,10,70
84.80,0.7,1,20
85.10,0.7,1,30
85.58,0.7,1,50
85.32,0.7,1,70
90.50,0.7,3,20
91.15,0.7,3,30
91.15,0.7,3,50
91.25,0.7,3,70
92.36,0.7,5,20
92.20,0.7,5,30
92.24,0.7,5,50
91.94,0.7,5,70
92.66,0.7,7,20
92.88,0.7,7,30
92.60,0.7,7,50
92.08,0.7,7,70
94.01,0.7,10,20
93.06,0.7,10,30
93.33,0.7,10,50
93.21,0.7,10,70
80.11,0.85,1,20
80.33,0.85,1,30
80.51,0.85,1,50
79.54,0.85,1,70
86.00,0.85,3,20
86.39,0.85,3,30
85.60,0.85,3,50
85.20,0.85,3,70
87.78,0.85,5,20
87.45,0.85,5,30
86.62,0.85,5,50
87.30,0.85,5,70
87.68,0.85,7,20
87.11,0.85,7,30
87.47,0.85,7,50
88.02,0.85,7,70
88.10,0.85,10,20
88.61,0.85,10,30
88.71,0.85,10,50
88.22,0.85,10,70
