percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,n1,n2,u1,u2,error,hidden,batches,Tr,Tr(sd),Te,Te(sd)
0.3,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,8.33,2.57,11.11,7.72
0.5,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,13.89,59.80,15.28,30.86
0.7,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,16.67,72.02,11.11,64.20
0.85,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,22.22,7.72,15.74,0.86
0.3,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,15.74,13.72,16.67,92.59
0.5,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,23.61,13.50,19.44,30.86
0.7,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,12.96,13.72,15.56,16.05
0.85,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,8.33,23.15,12.04,26.58
0.3,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,11.11,23.15,13.89,54.01
0.5,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,11.11,13.50,4.17,5.79
0.7,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,14.81,96.02,6.67,25.93
0.85,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,13.89,54.01,10.19,16.29
0.3,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,12.96,11.15,11.11,54.01
0.5,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,4.17,5.79,6.94,25.08
0.7,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,25.93,3.43,24.44,8.64
0.85,False,16,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,19.44,30.86,20.37,44.58
0.3,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,5.56,10.29,2.78,7.72
0.5,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,31.94,244.98,33.33,370.37
0.7,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,11.11,30.86,13.33,11.11
0.85,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,2.78,7.72,9.26,42.01
0.3,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,18.52,88.31,19.44,100.31
0.5,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,15.28,129.24,13.89,59.80
0.7,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,11.11,10.29,4.44,1.23
0.85,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,13.89,54.01,13.89,54.01
0.3,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,8.33,10.29,13.89,100.31
0.5,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,11.11,1.93,9.72,13.50
0.7,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,18.52,24.01,15.56,45.68
0.85,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,22.22,7.72,19.44,41.15
0.3,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,24.07,126.89,22.22,54.01
0.5,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,20.83,17.36,25.00,17.36
0.7,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,18.52,65.16,18.89,30.86
0.85,False,32,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,22.22,192.90,14.81,114.03
0.3,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,11.11,30.86,11.11,7.72
0.5,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,29.17,121.53,31.94,59.80
0.7,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,9.26,3.43,8.89,23.46
0.85,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,25.00,92.59,21.30,24.01
0.3,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,8.33,33.44,11.11,7.72
0.5,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,12.50,40.51,11.11,13.50
0.7,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,1.85,3.43,5.56,1.23
0.85,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,11.11,54.01,9.26,26.58
0.3,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,4.63,21.43,13.89,30.86
0.5,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,25.00,23.15,22.22,1.93
0.7,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,16.67,10.29,15.56,8.64
0.85,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,13.89,7.72,6.48,11.15
0.3,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,14.81,147.46,11.11,123.46
0.5,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,22.22,13.50,19.44,7.72
0.7,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,12.96,13.72,16.67,11.11
0.85,False,64,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,16.67,69.44,9.26,24.01
0.3,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,17.59,57.44,16.67,23.15
0.5,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,12.50,40.51,15.28,71.37
0.7,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,18.52,3.43,13.33,14.81
0.85,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,10,30,5.56,7.72,1.85,0.86
0.3,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,19.44,100.31,25.00,162.04
0.5,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,9.72,13.50,11.11,54.01
0.7,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,7.41,24.01,2.22,1.23
0.85,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,20,30,19.44,30.86,16.67,18.00
0.3,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,17.59,119.17,16.67,69.44
0.5,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,4.17,17.36,9.72,13.50
0.7,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,12.96,3.43,4.44,19.75
0.85,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,30,30,19.44,30.86,17.59,21.43
0.3,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,24.07,106.31,19.44,54.01
0.5,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,19.44,36.65,15.28,25.08
0.7,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,9.26,13.72,11.11,23.46
0.85,False,128,True,2,False,visap-half,0.1,0.5,0.5,0.1,0.05,40,30,5.56,30.86,7.41,16.29
