percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,spread,groupSize,Tr,Tr(sd),Te,Te(sd)
0.3,False,16,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.3,False,16,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.7,False,16,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.3,False,32,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.5,False,32,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.7,False,32,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.3,False,64,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.7,False,64,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,1,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,2,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,4,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,16,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,32,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,64,0,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.5,False,128,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.7,False,128,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,128,0,100.00,0.00,83.33,0.00
